,scientific_name,park_name,observations,category,common_names
34,Lysimachia quadrifolia,BNP,119,Vascular Plant,Whorled Loosestrife
35,Lysimachia quadrifolia,YeNP,285,Vascular Plant,Whorled Loosestrife
36,Diphyscium cumberlandianum,YeNP,250,Nonvascular Plant,Cumberland Diphyscium Moss
37,Diphyscium cumberlandianum,YNP,123,Nonvascular Plant,Cumberland Diphyscium Moss
38,Diphyscium cumberlandianum,GSMNP,51,Nonvascular Plant,Cumberland Diphyscium Moss
39,Diphyscium cumberlandianum,BNP,93,Nonvascular Plant,Cumberland Diphyscium Moss
40,Ludwigia peploides ssp. glabrescens,BNP,103,Vascular Plant,Floating Primrosewillow
41,Ludwigia peploides ssp. glabrescens,YNP,138,Vascular Plant,Floating Primrosewillow
42,Ludwigia peploides ssp. glabrescens,YeNP,294,Vascular Plant,Floating Primrosewillow
43,Ludwigia peploides ssp. glabrescens,GSMNP,61,Vascular Plant,Floating Primrosewillow
44,Cistothorus platensis,BNP,114,Bird,Sedge Wren
45,Cistothorus platensis,GSMNP,65,Bird,Sedge Wren
46,Cistothorus platensis,YeNP,266,Bird,Sedge Wren
47,Cistothorus platensis,YNP,186,Bird,Sedge Wren
48,Setaria viridis var. viridis,BNP,101,Vascular Plant,Green Bristlegrass
49,Setaria viridis var. viridis,YNP,152,Vascular Plant,Green Bristlegrass
50,Setaria viridis var. viridis,GSMNP,76,Vascular Plant,Green Bristlegrass
51,Setaria viridis var. viridis,YeNP,253,Vascular Plant,Green Bristlegrass
52,Arabis davidsonii,YeNP,279,Vascular Plant,Davidson's Rockcress
53,Arabis davidsonii,GSMNP,96,Vascular Plant,Davidson's Rockcress
54,Arabis davidsonii,YNP,109,Vascular Plant,Davidson's Rockcress
55,Arabis davidsonii,BNP,103,Vascular Plant,Davidson's Rockcress
56,Fabronia ciliaris,GSMNP,72,Nonvascular Plant,Fabronia Moss
57,Fabronia ciliaris,BNP,111,Nonvascular Plant,Fabronia Moss
58,Fabronia ciliaris,YeNP,214,Nonvascular Plant,Fabronia Moss
59,Fabronia ciliaris,YNP,146,Nonvascular Plant,Fabronia Moss
60,Lunaria annua,GSMNP,65,Vascular Plant,"Annual Honesty, Moneyplant"
61,Lunaria annua,GSMNP,65,Vascular Plant,Annual Honesty
62,Lunaria annua,GSMNP,95,Vascular Plant,"Annual Honesty, Moneyplant"
63,Lunaria annua,GSMNP,95,Vascular Plant,Annual Honesty
64,Lunaria annua,YNP,130,Vascular Plant,"Annual Honesty, Moneyplant"
65,Lunaria annua,YNP,130,Vascular Plant,Annual Honesty
66,Lunaria annua,BNP,107,Vascular Plant,"Annual Honesty, Moneyplant"
67,Lunaria annua,BNP,107,Vascular Plant,Annual Honesty
68,Lunaria annua,YeNP,252,Vascular Plant,"Annual Honesty, Moneyplant"
69,Lunaria annua,YeNP,252,Vascular Plant,Annual Honesty
70,Lunaria annua,BNP,82,Vascular Plant,"Annual Honesty, Moneyplant"
71,Lunaria annua,BNP,82,Vascular Plant,Annual Honesty
72,Lunaria annua,YeNP,208,Vascular Plant,"Annual Honesty, Moneyplant"
73,Lunaria annua,YeNP,208,Vascular Plant,Annual Honesty
74,Lunaria annua,YNP,146,Vascular Plant,"Annual Honesty, Moneyplant"
75,Lunaria annua,YNP,146,Vascular Plant,Annual Honesty
76,Quercus bicolor,YNP,143,Vascular Plant,Swamp White Oak
77,Quercus bicolor,GSMNP,54,Vascular Plant,Swamp White Oak
78,Quercus bicolor,YeNP,231,Vascular Plant,Swamp White Oak
79,Quercus bicolor,BNP,96,Vascular Plant,Swamp White Oak
80,Muhlenbergia rigens,YNP,165,Vascular Plant,"Deer Muhly, Deergrass"
81,Muhlenbergia rigens,BNP,106,Vascular Plant,"Deer Muhly, Deergrass"
82,Muhlenbergia rigens,GSMNP,87,Vascular Plant,"Deer Muhly, Deergrass"
83,Muhlenbergia rigens,YeNP,239,Vascular Plant,"Deer Muhly, Deergrass"
84,Rubus idaeus ssp. strigosus,YNP,150,Vascular Plant,American Red Raspberry
85,Rubus idaeus ssp. strigosus,GSMNP,99,Vascular Plant,American Red Raspberry
86,Rubus idaeus ssp. strigosus,YeNP,245,Vascular Plant,American Red Raspberry
87,Rubus idaeus ssp. strigosus,BNP,45,Vascular Plant,American Red Raspberry
88,Polymnia canadensis,GSMNP,80,Vascular Plant,"Leaf-Cup, White-Flower Leafcup"
89,Polymnia canadensis,YNP,148,Vascular Plant,"Leaf-Cup, White-Flower Leafcup"
90,Polymnia canadensis,YeNP,249,Vascular Plant,"Leaf-Cup, White-Flower Leafcup"
91,Polymnia canadensis,BNP,81,Vascular Plant,"Leaf-Cup, White-Flower Leafcup"
92,Carduus nutans,BNP,83,Vascular Plant,Musk Thistle
93,Carduus nutans,YeNP,271,Vascular Plant,Musk Thistle
94,Carduus nutans,YNP,151,Vascular Plant,Musk Thistle
95,Carduus nutans,GSMNP,66,Vascular Plant,Musk Thistle
96,Ptilium crista-castrensis,BNP,109,Nonvascular Plant,Knights Plume Moss
97,Ptilium crista-castrensis,YNP,112,Nonvascular Plant,Knights Plume Moss
98,Ptilium crista-castrensis,GSMNP,109,Nonvascular Plant,Knights Plume Moss
99,Ptilium crista-castrensis,YeNP,232,Nonvascular Plant,Knights Plume Moss
100,Elodea nuttallii,YNP,158,Vascular Plant,Western Waterweed
101,Elodea nuttallii,YNP,158,Vascular Plant,Waterweed
102,Elodea nuttallii,BNP,120,Vascular Plant,Western Waterweed
103,Elodea nuttallii,BNP,120,Vascular Plant,Waterweed
104,Elodea nuttallii,YNP,171,Vascular Plant,Western Waterweed
105,Elodea nuttallii,YNP,171,Vascular Plant,Waterweed
106,Elodea nuttallii,BNP,93,Vascular Plant,Western Waterweed
107,Elodea nuttallii,BNP,93,Vascular Plant,Waterweed
108,Elodea nuttallii,GSMNP,99,Vascular Plant,Western Waterweed
109,Elodea nuttallii,GSMNP,99,Vascular Plant,Waterweed
110,Elodea nuttallii,YeNP,251,Vascular Plant,Western Waterweed
111,Elodea nuttallii,YeNP,251,Vascular Plant,Waterweed
112,Elodea nuttallii,YeNP,252,Vascular Plant,Western Waterweed
113,Elodea nuttallii,YeNP,252,Vascular Plant,Waterweed
114,Elodea nuttallii,GSMNP,68,Vascular Plant,Western Waterweed
115,Elodea nuttallii,GSMNP,68,Vascular Plant,Waterweed
116,Larus philadelphia,YNP,167,Bird,Bonaparte's Gull
117,Larus philadelphia,GSMNP,61,Bird,Bonaparte's Gull
118,Larus philadelphia,BNP,117,Bird,Bonaparte's Gull
119,Larus philadelphia,YeNP,285,Bird,Bonaparte's Gull
120,Zizia trifoliata,YNP,135,Vascular Plant,"Meadow Alexanders, Three-Leaved Golden Alexanders"
121,Zizia trifoliata,YeNP,238,Vascular Plant,"Meadow Alexanders, Three-Leaved Golden Alexanders"
122,Zizia trifoliata,BNP,87,Vascular Plant,"Meadow Alexanders, Three-Leaved Golden Alexanders"
123,Zizia trifoliata,GSMNP,80,Vascular Plant,"Meadow Alexanders, Three-Leaved Golden Alexanders"
124,Amaranthus retroflexus,YeNP,247,Vascular Plant,"Green Amaranthus, Red-Root Amaranth"
125,Amaranthus retroflexus,YeNP,247,Vascular Plant,"Careless Weed, Redroot Amaranth, Red-Root Amaranth, Redroot Pigweed, Rough Pigweed"
126,Amaranthus retroflexus,BNP,103,Vascular Plant,"Green Amaranthus, Red-Root Amaranth"
127,Amaranthus retroflexus,BNP,103,Vascular Plant,"Careless Weed, Redroot Amaranth, Red-Root Amaranth, Redroot Pigweed, Rough Pigweed"
128,Amaranthus retroflexus,YNP,121,Vascular Plant,"Green Amaranthus, Red-Root Amaranth"
129,Amaranthus retroflexus,YNP,121,Vascular Plant,"Careless Weed, Redroot Amaranth, Red-Root Amaranth, Redroot Pigweed, Rough Pigweed"
130,Amaranthus retroflexus,BNP,78,Vascular Plant,"Green Amaranthus, Red-Root Amaranth"
131,Amaranthus retroflexus,BNP,78,Vascular Plant,"Careless Weed, Redroot Amaranth, Red-Root Amaranth, Redroot Pigweed, Rough Pigweed"
132,Amaranthus retroflexus,YeNP,231,Vascular Plant,"Green Amaranthus, Red-Root Amaranth"
133,Amaranthus retroflexus,YeNP,231,Vascular Plant,"Careless Weed, Redroot Amaranth, Red-Root Amaranth, Redroot Pigweed, Rough Pigweed"
134,Amaranthus retroflexus,GSMNP,21,Vascular Plant,"Green Amaranthus, Red-Root Amaranth"
135,Amaranthus retroflexus,GSMNP,21,Vascular Plant,"Careless Weed, Redroot Amaranth, Red-Root Amaranth, Redroot Pigweed, Rough Pigweed"
136,Amaranthus retroflexus,YNP,148,Vascular Plant,"Green Amaranthus, Red-Root Amaranth"
137,Amaranthus retroflexus,YNP,148,Vascular Plant,"Careless Weed, Redroot Amaranth, Red-Root Amaranth, Redroot Pigweed, Rough Pigweed"
138,Amaranthus retroflexus,GSMNP,86,Vascular Plant,"Green Amaranthus, Red-Root Amaranth"
139,Amaranthus retroflexus,GSMNP,86,Vascular Plant,"Careless Weed, Redroot Amaranth, Red-Root Amaranth, Redroot Pigweed, Rough Pigweed"
140,Geranium thunbergii,YNP,150,Vascular Plant,Thunberg's Geranium
141,Geranium thunbergii,GSMNP,70,Vascular Plant,Thunberg's Geranium
142,Geranium thunbergii,YeNP,244,Vascular Plant,Thunberg's Geranium
143,Geranium thunbergii,BNP,120,Vascular Plant,Thunberg's Geranium
144,Scirpus cyperinus,GSMNP,73,Vascular Plant,"Bulrush, Cottongrass Bulrush"
145,Scirpus cyperinus,GSMNP,73,Vascular Plant,"Bulrush, Woolgrass"
146,Scirpus cyperinus,BNP,75,Vascular Plant,"Bulrush, Cottongrass Bulrush"
147,Scirpus cyperinus,BNP,75,Vascular Plant,"Bulrush, Woolgrass"
148,Scirpus cyperinus,YeNP,259,Vascular Plant,"Bulrush, Cottongrass Bulrush"
149,Scirpus cyperinus,YeNP,259,Vascular Plant,"Bulrush, Woolgrass"
150,Scirpus cyperinus,BNP,96,Vascular Plant,"Bulrush, Cottongrass Bulrush"
151,Scirpus cyperinus,BNP,96,Vascular Plant,"Bulrush, Woolgrass"
152,Scirpus cyperinus,YNP,166,Vascular Plant,"Bulrush, Cottongrass Bulrush"
153,Scirpus cyperinus,YNP,166,Vascular Plant,"Bulrush, Woolgrass"
154,Scirpus cyperinus,YeNP,247,Vascular Plant,"Bulrush, Cottongrass Bulrush"
155,Scirpus cyperinus,YeNP,247,Vascular Plant,"Bulrush, Woolgrass"
156,Scirpus cyperinus,YNP,171,Vascular Plant,"Bulrush, Cottongrass Bulrush"
157,Scirpus cyperinus,YNP,171,Vascular Plant,"Bulrush, Woolgrass"
158,Scirpus cyperinus,GSMNP,77,Vascular Plant,"Bulrush, Cottongrass Bulrush"
159,Scirpus cyperinus,GSMNP,77,Vascular Plant,"Bulrush, Woolgrass"
160,Viola glabella,YeNP,261,Vascular Plant,Pioneer Violet
161,Viola glabella,BNP,84,Vascular Plant,Pioneer Violet
162,Viola glabella,GSMNP,91,Vascular Plant,Pioneer Violet
163,Viola glabella,YNP,177,Vascular Plant,Pioneer Violet
164,Scaphiopus holbrookii holbrookii,YNP,177,Amphibian,Eastern Spadefoot
165,Scaphiopus holbrookii holbrookii,BNP,104,Amphibian,Eastern Spadefoot
166,Scaphiopus holbrookii holbrookii,GSMNP,86,Amphibian,Eastern Spadefoot
167,Scaphiopus holbrookii holbrookii,YeNP,236,Amphibian,Eastern Spadefoot
168,Glyceria striata,YNP,117,Vascular Plant,"Fowl Manna-Grass, Striate Mannagrass"
169,Glyceria striata,YNP,117,Vascular Plant,"Fowl Manna Grass, Fowl Mannagrass"
170,Glyceria striata,YeNP,268,Vascular Plant,"Fowl Manna-Grass, Striate Mannagrass"
171,Glyceria striata,YeNP,268,Vascular Plant,"Fowl Manna Grass, Fowl Mannagrass"
172,Glyceria striata,YNP,142,Vascular Plant,"Fowl Manna-Grass, Striate Mannagrass"
173,Glyceria striata,YNP,142,Vascular Plant,"Fowl Manna Grass, Fowl Mannagrass"
174,Glyceria striata,BNP,99,Vascular Plant,"Fowl Manna-Grass, Striate Mannagrass"
175,Glyceria striata,BNP,99,Vascular Plant,"Fowl Manna Grass, Fowl Mannagrass"
176,Glyceria striata,GSMNP,60,Vascular Plant,"Fowl Manna-Grass, Striate Mannagrass"
177,Glyceria striata,GSMNP,60,Vascular Plant,"Fowl Manna Grass, Fowl Mannagrass"
178,Glyceria striata,GSMNP,83,Vascular Plant,"Fowl Manna-Grass, Striate Mannagrass"
179,Glyceria striata,GSMNP,83,Vascular Plant,"Fowl Manna Grass, Fowl Mannagrass"
180,Glyceria striata,BNP,85,Vascular Plant,"Fowl Manna-Grass, Striate Mannagrass"
181,Glyceria striata,BNP,85,Vascular Plant,"Fowl Manna Grass, Fowl Mannagrass"
182,Glyceria striata,YeNP,281,Vascular Plant,"Fowl Manna-Grass, Striate Mannagrass"
183,Glyceria striata,YeNP,281,Vascular Plant,"Fowl Manna Grass, Fowl Mannagrass"
184,Veronica cusickii,BNP,84,Vascular Plant,Cusick's Speedwell
185,Veronica cusickii,YNP,128,Vascular Plant,Cusick's Speedwell
186,Veronica cusickii,YeNP,250,Vascular Plant,Cusick's Speedwell
187,Veronica cusickii,GSMNP,77,Vascular Plant,Cusick's Speedwell
188,Festuca filiformis,GSMNP,79,Vascular Plant,Fineleaf Sheep Fescue
189,Festuca filiformis,YeNP,240,Vascular Plant,Fineleaf Sheep Fescue
190,Festuca filiformis,BNP,68,Vascular Plant,Fineleaf Sheep Fescue
191,Festuca filiformis,YNP,177,Vascular Plant,Fineleaf Sheep Fescue
192,Rosa pinetorum,BNP,96,Vascular Plant,Pine Rose
193,Rosa pinetorum,GSMNP,73,Vascular Plant,Pine Rose
194,Rosa pinetorum,YeNP,252,Vascular Plant,Pine Rose
195,Rosa pinetorum,YNP,129,Vascular Plant,Pine Rose
196,Lysimachia nummularia,YNP,140,Vascular Plant,"Creeping Jennie, Moneywort"
197,Lysimachia nummularia,GSMNP,54,Vascular Plant,"Creeping Jennie, Moneywort"
198,Lysimachia nummularia,BNP,71,Vascular Plant,"Creeping Jennie, Moneywort"
199,Lysimachia nummularia,YeNP,263,Vascular Plant,"Creeping Jennie, Moneywort"
200,Sclerolinon digynum,BNP,116,Vascular Plant,"Digynum Flax, Northwestern Yellowflax"
201,Sclerolinon digynum,YeNP,240,Vascular Plant,"Digynum Flax, Northwestern Yellowflax"
202,Sclerolinon digynum,YNP,164,Vascular Plant,"Digynum Flax, Northwestern Yellowflax"
203,Sclerolinon digynum,GSMNP,73,Vascular Plant,"Digynum Flax, Northwestern Yellowflax"
204,Camissonia sierrae ssp. alticola,BNP,84,Vascular Plant,"Mono Hot Springs Evening Primrose, Mono Hot Springs Evening-Primrose"
205,Camissonia sierrae ssp. alticola,YNP,169,Vascular Plant,"Mono Hot Springs Evening Primrose, Mono Hot Springs Evening-Primrose"
206,Camissonia sierrae ssp. alticola,GSMNP,95,Vascular Plant,"Mono Hot Springs Evening Primrose, Mono Hot Springs Evening-Primrose"
207,Camissonia sierrae ssp. alticola,YeNP,201,Vascular Plant,"Mono Hot Springs Evening Primrose, Mono Hot Springs Evening-Primrose"
208,Festuca idahoensis,YeNP,239,Vascular Plant,Idaho Fescue
209,Festuca idahoensis,YNP,164,Vascular Plant,Idaho Fescue
210,Festuca idahoensis,GSMNP,106,Vascular Plant,Idaho Fescue
211,Festuca idahoensis,BNP,102,Vascular Plant,Idaho Fescue
212,Doellingeria infirma,YeNP,262,Vascular Plant,Cornel-Leaf Whitetop
213,Doellingeria infirma,GSMNP,68,Vascular Plant,Cornel-Leaf Whitetop
214,Doellingeria infirma,YNP,166,Vascular Plant,Cornel-Leaf Whitetop
215,Doellingeria infirma,BNP,104,Vascular Plant,Cornel-Leaf Whitetop
216,Viola macloskeyi ssp. pallens,GSMNP,71,Vascular Plant,"Northern White Violet, Smooth White Violet"
217,Viola macloskeyi ssp. pallens,BNP,107,Vascular Plant,"Northern White Violet, Smooth White Violet"
218,Viola macloskeyi ssp. pallens,YeNP,223,Vascular Plant,"Northern White Violet, Smooth White Violet"
219,Viola macloskeyi ssp. pallens,YNP,164,Vascular Plant,"Northern White Violet, Smooth White Violet"
220,Cirsium arvense,GSMNP,85,Vascular Plant,"Crepping Thistle, Canada Thistle"
221,Cirsium arvense,GSMNP,85,Vascular Plant,Canada Thistle
222,Cirsium arvense,YeNP,249,Vascular Plant,"Crepping Thistle, Canada Thistle"
223,Cirsium arvense,YeNP,249,Vascular Plant,Canada Thistle
224,Cirsium arvense,BNP,122,Vascular Plant,"Crepping Thistle, Canada Thistle"
225,Cirsium arvense,BNP,122,Vascular Plant,Canada Thistle
226,Cirsium arvense,BNP,90,Vascular Plant,"Crepping Thistle, Canada Thistle"
227,Cirsium arvense,BNP,90,Vascular Plant,Canada Thistle
228,Cirsium arvense,GSMNP,88,Vascular Plant,"Crepping Thistle, Canada Thistle"
229,Cirsium arvense,GSMNP,88,Vascular Plant,Canada Thistle
230,Cirsium arvense,YeNP,241,Vascular Plant,"Crepping Thistle, Canada Thistle"
231,Cirsium arvense,YeNP,241,Vascular Plant,Canada Thistle
232,Cirsium arvense,YNP,166,Vascular Plant,"Crepping Thistle, Canada Thistle"
233,Cirsium arvense,YNP,166,Vascular Plant,Canada Thistle
234,Cirsium arvense,YNP,153,Vascular Plant,"Crepping Thistle, Canada Thistle"
235,Cirsium arvense,YNP,153,Vascular Plant,Canada Thistle
236,Elaeagnus umbellata,YNP,176,Vascular Plant,Autumn Olive
237,Elaeagnus umbellata,GSMNP,85,Vascular Plant,Autumn Olive
238,Elaeagnus umbellata,BNP,102,Vascular Plant,Autumn Olive
239,Elaeagnus umbellata,YeNP,237,Vascular Plant,Autumn Olive
240,Cornus alternifolia,YNP,148,Vascular Plant,"Alternate-Leaf Dogwood, Alternate-Leaved Dogwood"
241,Cornus alternifolia,GSMNP,61,Vascular Plant,"Alternate-Leaf Dogwood, Alternate-Leaved Dogwood"
242,Cornus alternifolia,BNP,122,Vascular Plant,"Alternate-Leaf Dogwood, Alternate-Leaved Dogwood"
243,Cornus alternifolia,YeNP,237,Vascular Plant,"Alternate-Leaf Dogwood, Alternate-Leaved Dogwood"
244,Portulaca oleracea,GSMNP,76,Vascular Plant,Common Purslane
245,Portulaca oleracea,GSMNP,76,Vascular Plant,"Akulikuli-Kula, Common Purslane, Duckweed, Garden Purslane, Little Hogweed, Little-Hogweed, Purslane, Pursley, Wild Portulaca"
246,Portulaca oleracea,BNP,108,Vascular Plant,Common Purslane
247,Portulaca oleracea,BNP,108,Vascular Plant,"Akulikuli-Kula, Common Purslane, Duckweed, Garden Purslane, Little Hogweed, Little-Hogweed, Purslane, Pursley, Wild Portulaca"
248,Portulaca oleracea,YeNP,233,Vascular Plant,Common Purslane
249,Portulaca oleracea,YeNP,233,Vascular Plant,"Akulikuli-Kula, Common Purslane, Duckweed, Garden Purslane, Little Hogweed, Little-Hogweed, Purslane, Pursley, Wild Portulaca"
250,Portulaca oleracea,YNP,130,Vascular Plant,Common Purslane
251,Portulaca oleracea,YNP,130,Vascular Plant,"Akulikuli-Kula, Common Purslane, Duckweed, Garden Purslane, Little Hogweed, Little-Hogweed, Purslane, Pursley, Wild Portulaca"
252,Portulaca oleracea,YNP,141,Vascular Plant,Common Purslane
253,Portulaca oleracea,YNP,141,Vascular Plant,"Akulikuli-Kula, Common Purslane, Duckweed, Garden Purslane, Little Hogweed, Little-Hogweed, Purslane, Pursley, Wild Portulaca"
254,Portulaca oleracea,BNP,116,Vascular Plant,Common Purslane
255,Portulaca oleracea,BNP,116,Vascular Plant,"Akulikuli-Kula, Common Purslane, Duckweed, Garden Purslane, Little Hogweed, Little-Hogweed, Purslane, Pursley, Wild Portulaca"
256,Portulaca oleracea,YeNP,258,Vascular Plant,Common Purslane
257,Portulaca oleracea,YeNP,258,Vascular Plant,"Akulikuli-Kula, Common Purslane, Duckweed, Garden Purslane, Little Hogweed, Little-Hogweed, Purslane, Pursley, Wild Portulaca"
258,Portulaca oleracea,GSMNP,93,Vascular Plant,Common Purslane
259,Portulaca oleracea,GSMNP,93,Vascular Plant,"Akulikuli-Kula, Common Purslane, Duckweed, Garden Purslane, Little Hogweed, Little-Hogweed, Purslane, Pursley, Wild Portulaca"
260,Solidago missouriensis var. missouriensis,BNP,112,Vascular Plant,Missouri Goldenrod
261,Solidago missouriensis var. missouriensis,YeNP,244,Vascular Plant,Missouri Goldenrod
262,Solidago missouriensis var. missouriensis,GSMNP,101,Vascular Plant,Missouri Goldenrod
263,Solidago missouriensis var. missouriensis,YNP,122,Vascular Plant,Missouri Goldenrod
264,Silene parryi,GSMNP,68,Vascular Plant,Parry's Silene
265,Silene parryi,BNP,114,Vascular Plant,Parry's Silene
266,Silene parryi,YNP,149,Vascular Plant,Parry's Silene
267,Silene parryi,YeNP,252,Vascular Plant,Parry's Silene
268,Itea virginica,YeNP,235,Vascular Plant,"Sweet-Spire, Tasselwhite, Virginia Willow"
269,Itea virginica,YNP,157,Vascular Plant,"Sweet-Spire, Tasselwhite, Virginia Willow"
270,Itea virginica,GSMNP,99,Vascular Plant,"Sweet-Spire, Tasselwhite, Virginia Willow"
271,Itea virginica,BNP,114,Vascular Plant,"Sweet-Spire, Tasselwhite, Virginia Willow"
272,Ammoselinum butleri,YeNP,283,Vascular Plant,Butler's Sandparsley
273,Ammoselinum butleri,GSMNP,86,Vascular Plant,Butler's Sandparsley
274,Ammoselinum butleri,YNP,179,Vascular Plant,Butler's Sandparsley
275,Ammoselinum butleri,BNP,112,Vascular Plant,Butler's Sandparsley
276,Platycladus orientalis,GSMNP,25,Vascular Plant,Oriental White Cedar
277,Platycladus orientalis,BNP,55,Vascular Plant,Oriental White Cedar
278,Platycladus orientalis,YNP,110,Vascular Plant,Oriental White Cedar
279,Platycladus orientalis,YeNP,274,Vascular Plant,Oriental White Cedar
280,Limnanthes alba ssp. versicolor,YeNP,246,Vascular Plant,White Meadowfoam
281,Limnanthes alba ssp. versicolor,BNP,108,Vascular Plant,White Meadowfoam
282,Limnanthes alba ssp. versicolor,YNP,143,Vascular Plant,White Meadowfoam
283,Limnanthes alba ssp. versicolor,GSMNP,84,Vascular Plant,White Meadowfoam
284,Panicum rigidulum var. pubescens,YNP,158,Vascular Plant,Long-Leaved Panic Grass
285,Panicum rigidulum var. pubescens,YeNP,226,Vascular Plant,Long-Leaved Panic Grass
286,Panicum rigidulum var. pubescens,GSMNP,85,Vascular Plant,Long-Leaved Panic Grass
287,Panicum rigidulum var. pubescens,BNP,83,Vascular Plant,Long-Leaved Panic Grass
288,Salix humilis var. humilis,GSMNP,64,Vascular Plant,Prairie Willow
289,Salix humilis var. humilis,BNP,78,Vascular Plant,Prairie Willow
290,Salix humilis var. humilis,YNP,123,Vascular Plant,Prairie Willow
291,Salix humilis var. humilis,YeNP,218,Vascular Plant,Prairie Willow
292,Hepatica nobilis,YeNP,281,Vascular Plant,Hepatica
293,Hepatica nobilis,BNP,121,Vascular Plant,Hepatica
294,Hepatica nobilis,GSMNP,43,Vascular Plant,Hepatica
295,Hepatica nobilis,YNP,127,Vascular Plant,Hepatica
296,Eriogonum nudum var. deductum,BNP,88,Vascular Plant,Naked Buckwheat
297,Eriogonum nudum var. deductum,GSMNP,62,Vascular Plant,Naked Buckwheat
298,Eriogonum nudum var. deductum,YNP,150,Vascular Plant,Naked Buckwheat
299,Eriogonum nudum var. deductum,YeNP,279,Vascular Plant,Naked Buckwheat
300,Penstemon procerus,GSMNP,67,Vascular Plant,"Littleflower Penstemon, Pincushion Beardtongue"
301,Penstemon procerus,YeNP,215,Vascular Plant,"Littleflower Penstemon, Pincushion Beardtongue"
302,Penstemon procerus,BNP,98,Vascular Plant,"Littleflower Penstemon, Pincushion Beardtongue"
303,Penstemon procerus,YNP,121,Vascular Plant,"Littleflower Penstemon, Pincushion Beardtongue"
304,Ericameria suffruticosa,YeNP,254,Vascular Plant,"Bighead Goldenbush, Singlehead Goldenbush, Single-Head Heath-Goldenrod"
305,Ericameria suffruticosa,YNP,148,Vascular Plant,"Bighead Goldenbush, Singlehead Goldenbush, Single-Head Heath-Goldenrod"
306,Ericameria suffruticosa,BNP,127,Vascular Plant,"Bighead Goldenbush, Singlehead Goldenbush, Single-Head Heath-Goldenrod"
307,Ericameria suffruticosa,GSMNP,38,Vascular Plant,"Bighead Goldenbush, Singlehead Goldenbush, Single-Head Heath-Goldenrod"
308,Chasmanthium latifolium,YNP,152,Vascular Plant,"Broad-Leaved Spanglegrass, Indian Sea-Oats"
309,Chasmanthium latifolium,BNP,133,Vascular Plant,"Broad-Leaved Spanglegrass, Indian Sea-Oats"
310,Chasmanthium latifolium,GSMNP,82,Vascular Plant,"Broad-Leaved Spanglegrass, Indian Sea-Oats"
311,Chasmanthium latifolium,YeNP,249,Vascular Plant,"Broad-Leaved Spanglegrass, Indian Sea-Oats"
312,Sparganium emersum ssp. emersum,GSMNP,80,Vascular Plant,Emersed Bur-Reed
313,Sparganium emersum ssp. emersum,BNP,80,Vascular Plant,Emersed Bur-Reed
314,Sparganium emersum ssp. emersum,YeNP,290,Vascular Plant,Emersed Bur-Reed
